length_url,length_hostname,nb_dots,nb_hyphens,nb_slash,nb_qm,nb_and,nb_at,nb_eq,ratio_digits_url,ratio_digits_host,nb_subdomains,has_ip,tld_in_subdomain,entropy_hostname,path_len,query_len,label
161,17,2,0,7,1,1,0,3,0.13043478260869565,0.0,1,0,0,3.2195282822995477,109,27,1
60,15,2,0,7,1,0,0,1,0.05,0.0,1,0,0,3.3735572622751855,31,6,1
42,13,2,0,3,0,0,0,0,0.07142857142857142,0.0,1,0,0,3.180832987205441,22,0,1
34,10,1,0,5,0,0,0,1,0.029411764705882353,0.0,0,0,0,2.446439344671015,17,0,1
21,14,2,0,2,0,0,0,0,0.19047619047619047,0.2857142857142857,1,0,0,3.3248629576173574,0,0,1
33,11,2,0,4,0,0,0,0,0.30303030303030304,0.18181818181818182,1,0,0,3.277613436819116,15,0,1
59,20,1,1,5,0,0,0,0,0.0,0.0,0,0,0,3.746439344671015,32,0,1
49,13,2,0,7,0,0,0,0,0.0,0.0,1,0,0,3.0269868333592873,29,0,1
26,19,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.576617644908665,0,0,0
25,18,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.8365916681089787,0,0,0
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.1556390622295662,0,0,0
28,21,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.7256507561120933,0,0,0
46,16,2,0,4,0,0,0,0,0.0,0.0,1,0,0,3.452819531114783,23,0,1
112,18,1,0,4,1,1,1,2,0.0625,0.0,0,0,0,3.2810361125534233,23,63,1
53,13,1,0,6,0,0,0,0,0.0,0.0,0,0,0,3.180832987205441,33,0,1
17,10,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.121928094887362,0,0,0
31,11,2,0,3,0,0,0,0,0.0967741935483871,0.0,1,0,0,2.9139770731827523,12,0,1
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.238901256602631,0,0,0
76,12,2,0,7,0,0,0,0,0.27631578947368424,0.0,1,0,0,3.0220552088742,57,0,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.25,0,0,0
45,12,1,0,5,1,0,0,1,0.08888888888888889,0.0,0,0,0,3.084962500721156,12,13,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.1556390622295662,0,0,0
23,14,1,1,3,0,0,0,0,0.0,0.0,0,0,0,3.4677201004745006,1,0,1
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.2359263506290326,0,0,0
47,25,2,0,3,0,0,0,0,0.1276595744680851,0.0,1,0,0,3.673269689515108,15,0,1
256,8,1,0,5,1,0,0,1,0.08984375,0.0,0,0,0,2.5,30,210,1
63,26,2,1,7,0,0,0,0,0.015873015873015872,0.038461538461538464,1,0,0,3.825251737288651,30,0,1
80,12,1,0,6,2,0,0,1,0.025,0.0,0,0,0,3.0220552088742005,37,23,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.125,0,0,1
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.085055102756477,0,0,0
24,17,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.337175341123077,0,0,0
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.75,0,0,0
31,12,2,0,4,0,0,0,0,0.03225806451612903,0.08333333333333333,1,0,0,3.2516291673878226,12,0,1
20,13,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.7004397181410926,0,0,0
117,18,2,0,4,0,11,5,0,0.0,0.0,1,0,0,3.5724312513221195,10,0,1
22,15,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.973557262275185,0,0,0
13,6,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.584962500721156,0,0,0
84,25,2,0,5,0,0,0,0,0.08333333333333333,0.04,1,0,0,3.603856189774724,52,0,1
32,25,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.813660689688185,0,0,0
26,19,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.5368867237421666,0,0,0
25,18,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.6143694458867563,0,0,0
36,10,2,0,7,0,0,0,0,0.0,0.0,1,0,0,3.121928094887362,19,0,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.625,0,0,0
37,28,2,0,3,0,0,0,0,0.05405405405405406,0.07142857142857142,1,0,0,3.753434386188785,1,0,1
25,10,2,0,4,0,0,0,0,0.0,0.0,1,0,0,2.9219280948873623,8,0,1
25,18,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.5724312513221195,0,0,0
53,9,1,0,8,0,0,0,0,0.0,0.0,0,0,0,3.169925001442312,37,0,1
82,25,1,0,5,1,0,1,1,0.024390243902439025,0.0,0,0,0,3.483074189428569,27,22,1
34,15,2,0,3,0,0,0,0,0.0,0.0,1,0,0,3.3735572622751846,12,0,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.5,0,0,0
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.039148671903071,0,0,0
24,17,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.6168746059562227,0,0,0
28,21,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.8208888513501877,0,0,0
28,21,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.8208888513501886,0,0,0
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.9852281360342525,0,0,0
34,27,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.454168410357405,0,0,0
